"";"Driver";"year";"race";"raceID";"race_ID";"Start";"Mid Race";"Finish";"High Pos.";"Low Pos.";"Avg. Pos.";"Pass Diff.";"Green Flag Passes";"Green Flag Times Passed";"Quality Passes";"Pct. Quality Passes";"Fastest Lap";"Top 15 Laps";"Pct. Top 15 Laps";"Laps Led";"Pct. Laps Led";"Total Laps";"Driver Rating"
"200";"Jesse Little";"2021";"05";"05_2021";"2021_05";"23";"40";"40";"22";"34";"37";"-6";"9";"15";"0";"0.0";"0";"0";"0.0";"0";"0.0";"44";"28.3"
"201";"Justin Allgaier";"2021";"06";"06_2021";"2021_06";"6";"2";"1";"1";"11";"3";"11";"34";"23";"33";"97.1";"29";"163";"100.0";"47";"28.8";"163";"132.5"
"202";"Martin Truex, Jr.";"2021";"06";"06_2021";"2021_06";"18";"1";"2";"1";"23";"3";"37";"45";"8";"32";"71.1";"42";"156";"95.7";"103";"63.2";"163";"144.8"
"203";"Harrison Burton";"2021";"06";"06_2021";"2021_06";"5";"4";"3";"2";"21";"3";"5";"27";"22";"27";"100.0";"13";"162";"99.4";"0";"0.0";"163";"120.1"
"204";"Noah Gragson";"2021";"06";"06_2021";"2021_06";"30";"16";"4";"2";"34";"13";"60";"86";"26";"47";"54.7";"0";"117";"71.8";"0";"0.0";"163";"95.2"
"205";"A.J. Allmendinger";"2021";"06";"06_2021";"2021_06";"3";"31";"5";"3";"36";"20";"46";"77";"31";"22";"28.6";"17";"53";"32.5";"0";"0.0";"163";"96.9"
"206";"Riley Herbst";"2021";"06";"06_2021";"2021_06";"7";"5";"6";"2";"33";"8";"-2";"35";"37";"35";"100.0";"4";"152";"93.3";"0";"0.0";"163";"105.3"
"207";"Michael Annett";"2021";"06";"06_2021";"2021_06";"27";"6";"7";"5";"27";"10";"17";"45";"28";"27";"60.0";"0";"135";"82.8";"0";"0.0";"163";"98.8"
"208";"Justin Haley";"2021";"06";"06_2021";"2021_06";"13";"3";"8";"2";"26";"5";"11";"41";"30";"37";"90.2";"6";"161";"98.8";"0";"0.0";"163";"107.6"
"209";"Daniel Hemric";"2021";"06";"06_2021";"2021_06";"11";"11";"9";"4";"23";"12";"-1";"40";"41";"31";"77.5";"0";"149";"91.4";"0";"0.0";"163";"89.0"
"210";"Ryan Sieg";"2021";"06";"06_2021";"2021_06";"35";"12";"10";"3";"35";"15";"21";"54";"33";"23";"42.6";"0";"110";"67.5";"0";"0.0";"163";"82.0"
"211";"Myatt Snider";"2021";"06";"06_2021";"2021_06";"9";"7";"11";"2";"35";"10";"-11";"47";"58";"44";"93.6";"1";"146";"89.6";"0";"0.0";"163";"96.0"
"212";"Jeremy Clements";"2021";"06";"06_2021";"2021_06";"10";"9";"12";"3";"28";"10";"21";"51";"30";"30";"58.8";"0";"140";"85.9";"0";"0.0";"163";"91.7"
"213";"Austin Cindric";"2021";"06";"06_2021";"2021_06";"1";"22";"13";"1";"34";"14";"6";"66";"60";"31";"47.0";"3";"95";"58.3";"6";"3.7";"163";"81.2"
"214";"Landon Cassill";"2021";"06";"06_2021";"2021_06";"20";"24";"14";"13";"33";"22";"-3";"40";"43";"3";"7.5";"0";"18";"11.0";"0";"0.0";"163";"63.5"
"215";"Santino Ferrucci";"2021";"06";"06_2021";"2021_06";"12";"17";"15";"4";"27";"16";"-8";"43";"51";"21";"48.8";"0";"76";"46.6";"0";"0.0";"163";"74.7"
"216";"Josh Williams";"2021";"06";"06_2021";"2021_06";"19";"20";"16";"6";"30";"19";"-5";"47";"52";"2";"4.3";"0";"14";"8.6";"0";"0.0";"163";"66.5"
"217";"Alex Labbe";"2021";"06";"06_2021";"2021_06";"36";"23";"17";"8";"38";"23";"6";"45";"39";"0";"0.0";"0";"3";"1.8";"0";"0.0";"163";"60.3"
"218";"Tommy Joe Martins";"2021";"06";"06_2021";"2021_06";"15";"13";"18";"4";"33";"16";"-30";"35";"65";"11";"31.4";"0";"65";"39.9";"0";"0.0";"163";"69.5"
"219";"Jeffrey Earnhardt";"2021";"06";"06_2021";"2021_06";"26";"18";"19";"12";"29";"19";"-11";"42";"53";"9";"21.4";"0";"27";"16.6";"0";"0.0";"163";"65.2"
"220";"Timmy Hill";"2021";"06";"06_2021";"2021_06";"17";"28";"20";"8";"33";"24";"-4";"19";"23";"2";"10.5";"0";"6";"3.7";"0";"0.0";"163";"58.8"
"221";"Colby Howard";"2021";"06";"06_2021";"2021_06";"23";"15";"21";"1";"34";"19";"-20";"46";"66";"17";"37.0";"0";"48";"29.4";"3";"1.8";"163";"61.0"
"222";"Jesse Little";"2021";"06";"06_2021";"2021_06";"37";"21";"22";"2";"37";"23";"-3";"40";"43";"0";"0.0";"0";"4";"2.5";"0";"0.0";"162";"53.0"
"223";"Cody Ware";"2021";"06";"06_2021";"2021_06";"28";"26";"23";"13";"36";"26";"-10";"22";"32";"0";"0.0";"0";"2";"1.2";"0";"0.0";"162";"46.8"
"224";"Bayley Currey";"2021";"06";"06_2021";"2021_06";"14";"25";"24";"6";"30";"22";"-12";"21";"33";"6";"28.6";"0";"23";"14.2";"0";"0.0";"162";"64.0"
"225";"Jeb Burton";"2021";"06";"06_2021";"2021_06";"2";"8";"25";"2";"29";"14";"-21";"22";"43";"14";"63.6";"0";"104";"64.2";"0";"0.0";"162";"73.2"
"226";"Jade Buford";"2021";"06";"06_2021";"2021_06";"21";"27";"26";"12";"34";"26";"-32";"11";"43";"0";"0.0";"0";"3";"1.9";"0";"0.0";"161";"48.7"
"227";"David Starr";"2021";"06";"06_2021";"2021_06";"38";"32";"27";"17";"39";"31";"-5";"30";"35";"0";"0.0";"0";"0";"0.0";"0";"0.0";"161";"37.5"
"228";"Kyle Weatherman";"2021";"06";"06_2021";"2021_06";"31";"30";"28";"7";"34";"28";"-5";"26";"31";"0";"0.0";"0";"1";"0.6";"0";"0.0";"161";"47.7"
"229";"Joe Graf, Jr.";"2021";"06";"06_2021";"2021_06";"24";"35";"29";"24";"40";"34";"-12";"16";"28";"0";"0.0";"0";"0";"0.0";"0";"0.0";"161";"36.2"
"230";"Blaine Perkins";"2021";"06";"06_2021";"2021_06";"25";"34";"30";"25";"39";"34";"-14";"24";"38";"0";"0.0";"0";"0";"0.0";"0";"0.0";"160";"35.0"
"231";"Ryan Vargas";"2021";"06";"06_2021";"2021_06";"34";"29";"31";"24";"38";"32";"-10";"19";"29";"0";"0.0";"0";"0";"0.0";"0";"0.0";"160";"34.3"
"232";"Mason Massey";"2021";"06";"06_2021";"2021_06";"32";"19";"32";"5";"40";"29";"-5";"30";"35";"0";"0.0";"0";"2";"1.2";"0";"0.0";"160";"42.2"
"233";"Brandon Brown";"2021";"06";"06_2021";"2021_06";"4";"10";"33";"1";"33";"11";"-39";"47";"86";"39";"83.0";"0";"145";"90.6";"4";"2.5";"160";"77.0"
"234";"Matt Mills";"2021";"06";"06_2021";"2021_06";"39";"33";"34";"16";"40";"32";"-7";"16";"23";"0";"0.0";"0";"0";"0.0";"0";"0.0";"156";"36.0"
"235";"Dexter Bean";"2021";"06";"06_2021";"2021_06";"29";"36";"35";"29";"40";"37";"-11";"2";"13";"0";"0.0";"0";"0";"0.0";"0";"0.0";"156";"26.7"
"236";"Gray Gaulding";"2021";"06";"06_2021";"2021_06";"33";"37";"36";"23";"40";"36";"-1";"22";"23";"0";"0.0";"0";"0";"0.0";"0";"0.0";"150";"34.2"
"237";"Brandon Jones";"2021";"06";"06_2021";"2021_06";"16";"39";"37";"5";"39";"31";"11";"26";"15";"21";"80.8";"1";"39";"29.5";"0";"0.0";"132";"58.2"
"238";"Josh Berry";"2021";"06";"06_2021";"2021_06";"22";"14";"38";"7";"32";"19";"33";"54";"21";"29";"53.7";"1";"86";"66.2";"0";"0.0";"130";"65.2"
"239";"Chad Finchum";"2021";"06";"06_2021";"2021_06";"40";"38";"39";"14";"40";"36";"2";"12";"10";"0";"0.0";"0";"1";"1.7";"0";"0.0";"59";"28.8"
"240";"Brett Moffitt";"2021";"06";"06_2021";"2021_06";"8";"40";"40";"2";"9";"31";"-3";"10";"13";"9";"90.0";"1";"39";"100.0";"0";"0.0";"39";"68.9"
"241";"Josh Berry";"2021";"07";"07_2021";"2021_07";"29";"5";"1";"1";"32";"8";"31";"48";"17";"22";"45.8";"27";"188";"75.2";"95";"38.0";"250";"137.3"
"242";"Noah Gragson";"2021";"07";"07_2021";"2021_07";"8";"1";"2";"1";"22";"6";"38";"54";"16";"43";"79.6";"21";"236";"94.4";"12";"4.8";"250";"122.7"
"243";"Daniel Hemric";"2021";"07";"07_2021";"2021_07";"4";"25";"3";"1";"30";"9";"24";"58";"34";"40";"69.0";"25";"197";"78.8";"28";"11.2";"250";"110.5"
"244";"Ty Gibbs";"2021";"07";"07_2021";"2021_07";"16";"14";"4";"1";"29";"9";"35";"66";"31";"40";"60.6";"17";"209";"83.6";"28";"11.2";"250";"109.4"
"245";"Brandon Jones";"2021";"07";"07_2021";"2021_07";"24";"13";"5";"1";"34";"9";"27";"50";"23";"21";"42.0";"11";"172";"68.8";"16";"6.4";"250";"107.4"
"246";"Austin Cindric";"2021";"07";"07_2021";"2021_07";"6";"12";"6";"2";"25";"7";"14";"44";"30";"38";"86.4";"18";"228";"91.2";"0";"0.0";"250";"113.0"
"247";"Harrison Burton";"2021";"07";"07_2021";"2021_07";"1";"15";"7";"1";"27";"7";"9";"30";"21";"20";"66.7";"9";"224";"89.6";"52";"20.8";"250";"111.5"
"248";"Justin Haley";"2021";"07";"07_2021";"2021_07";"5";"6";"8";"2";"28";"8";"29";"61";"32";"39";"63.9";"18";"217";"86.8";"0";"0.0";"250";"107.6"
"249";"Justin Allgaier";"2021";"07";"07_2021";"2021_07";"2";"17";"9";"1";"28";"10";"8";"48";"40";"22";"45.8";"3";"204";"81.6";"0";"0.0";"250";"98.3"
